"","FileName","Time","APOE","Sex","APOE_Sex","Injection","Age","mean_FullCellComplexity","mean_log_MaxBranchLength","mean_log_AvgBranchLength","mean_t_index"
"58","20250513_Tser05162_microglia_Probabilities_combined.xlsx",58,"APOE4","Female","APOE4 Female","PostInjection","young",2.12162908290949,4.00737308874024,3.68242394273318,0.603501374500894
"59","20250513_Tser05162_microglia_Probabilities_combined.xlsx",59,"APOE4","Female","APOE4 Female","PostInjection","young",2.0279338823936,3.96248264414614,3.71469826531439,0.70061828334264
"60","20250513_Tser05162_microglia_Probabilities_combined.xlsx",60,"APOE4","Female","APOE4 Female","PostInjection","young",2.09287999772968,3.96600438188221,3.70154367707794,0.683210584504696
"61","20250513_Tser05162_microglia_Probabilities_combined.xlsx",61,"APOE4","Female","APOE4 Female","PostInjection","young",2.09910150041454,4.07508477744488,3.75947794591073,0.611329260862665
"62","20250513_Tser05162_microglia_Probabilities_combined.xlsx",62,"APOE4","Female","APOE4 Female","PostInjection","young",2.14769341559899,4.12624972849388,3.79246594220456,0.580902456805338
"63","20250515_Tser05165_microglia_Probabilities_combined.xlsx",1,"APOE4","Female","APOE4 Female","PreInjection","young",2.10133768237055,3.94949800885603,3.64667502045986,0.638998794057159
"64","20250515_Tser05165_microglia_Probabilities_combined.xlsx",2,"APOE4","Female","APOE4 Female","PreInjection","young",2.0854580938702,3.94446393261662,3.66484348316636,0.642390874717764
"65","20250515_Tser05165_microglia_Probabilities_combined.xlsx",3,"APOE4","Female","APOE4 Female","PreInjection","young",2.15781564978454,4.06975098085043,3.76384927736913,0.622565333023553
"66","20250515_Tser05165_microglia_Probabilities_combined.xlsx",4,"APOE4","Female","APOE4 Female","PreInjection","young",2.11333017084855,4.01514701849538,3.70816694063025,0.621244269748676
"67","20250515_Tser05165_microglia_Probabilities_combined.xlsx",5,"APOE4","Female","APOE4 Female","PreInjection","young",2.05030304115559,3.95404887848478,3.63036555136896,0.595559873370567
"68","20250515_Tser05165_microglia_Probabilities_combined.xlsx",6,"APOE4","Female","APOE4 Female","PreInjection","young",2.08664441676832,3.96264352749086,3.61821181969442,0.543742107486556
"69","20250515_Tser05165_microglia_Probabilities_combined.xlsx",7,"APOE4","Female","APOE4 Female","PreInjection","young",2.12166853780895,3.93431273467001,3.66625190095037,0.653315361696497
"70","20250515_Tser05165_microglia_Probabilities_combined.xlsx",8,"APOE4","Female","APOE4 Female","PreInjection","young",2.21724794353163,4.20216502058115,3.85197327561064,0.569216759612959
"71","20250515_Tser05165_microglia_Probabilities_combined.xlsx",9,"APOE4","Female","APOE4 Female","PreInjection","young",2.14913027553529,4.02898348163424,3.68413158857103,0.583965821484966
"72","20250515_Tser05165_microglia_Probabilities_combined.xlsx",10,"APOE4","Female","APOE4 Female","PreInjection","young",2.10670784098489,4.07038451044447,3.74633889947489,0.6025166095552
"73","20250515_Tser05165_microglia_Probabilities_combined.xlsx",11,"APOE4","Female","APOE4 Female","PreInjection","young",2.30309621091801,4.19607585381975,3.87917625703969,0.613036468813853
"74","20250515_Tser05165_microglia_Probabilities_combined.xlsx",12,"APOE4","Female","APOE4 Female","PreInjection","young",2.26059432185669,4.1874962358887,3.83331238718622,0.565477225832388
"75","20250515_Tser05165_microglia_Probabilities_combined.xlsx",13,"APOE4","Female","APOE4 Female","PostInjection","young",1.90190963338673,4.1927714874723,3.87015021114942,0.584542520514047
